CellLine,NCI-H929 cell line,CellLine,NCI-H929 cell
CellLine,NIT-1 cell line,CellLine,NIT-1 cell
CellLine,OPM-2 cell line,CellLine,OPM-2 cell
CellLine,OVCAR-3 cell line,CellLine,OVCAR-3 cell
CellLine,P19 cell line,CellLine,P19 cell
CellLine,P388 cell line,CellLine,P388 cell
CellLine,Panc 02.03 cell line,CellLine,Panc 02.03 cell
CellLine,Panc-1 cell line,CellLine,PANC-1 cell
CellLine,PC-3 cell line,CellLine,PC-3 cell
CellLine,PL45 cell line,CellLine,PL45 cell
CellLine,PLB-985 cell line,CellLine,PLB-985 cell
CellLine,Raji cell line,CellLine,Raji cell
CellLine,Ramos cell line,CellLine,RAMOS cell
CellLine,RAW 264.7 cell line,CellLine,RAW 264.7 cell
CellLine,RD cell line,CellLine,RD cell
CellLine,RKO cell line,CellLine,RKO cell
CellLine,RLE-6TN cell line,CellLine,RLE-6TN cell
CellLine,RPMI-2650 cell line,CellLine,RPMI-2650 cell
CellLine,RWPE-1 cell line,CellLine,RWPE-1 cell
CellLine,SAOS-2 cell line,CellLine,Saos-2 cell
CellLine,SCC-25 cell line,CellLine,SCC-25 cell
CellLine,SK-N-MC cell line,CellLine,SK-N-MC cell
CellLine,SNU-16 cell line,CellLine,SNU-16 cell
CellLine,SW48 cell line,CellLine,SW48 cell
CellLine,SW480 cell line,CellLine,SW480 cell
CellLine,SW620 cell line,CellLine,SW620 cell
CellLine,T24 cell line,CellLine,T24 cell
CellLine,T84 cell line,CellLine,T84 cell
CellLine,Tera-2 cell line,CellLine,Tera-2 cell
CellLine,THP-1 cell line,CellLine,THP-1 cell
CellLine,TT cell line,CellLine,TT cell
CellLine,U-87 MG cell line,CellLine,U-87 MG cell
CellLine,WI-38 cell line,CellLine,WI-38 cell
CellLine,WIDR cell line,CellLine,WiDr cell
CellLine,WM-115 cell line,CellLine,WM-115 cell
CellLine,Y79 cell line,CellLine,Y79 cell
CellLine,ZR-75-1 cell line,CellLine,ZR-75-1 cell
CellLine,293T cell line,CellLine,293T/17 cell
CellLine,3T3 Swiss albino mouse,CellLine,NIH-3T3 cell
CellLine,786-0 cell line,CellLine,786-O cell
CellLine,A204 cell line,CellLine,A-204 cell
CellLine,A427 cell line,CellLine,A-427 cell
CellLine,A498 cell line,CellLine,A-498 cell
CellLine,B16 cell line,CellLine,B16-F0 cell
CellLine,B82L fibroblast,CellLine,B82 cell
CellLine,BT474 cell line,CellLine,BT-474 cell
CellLine,BxPC3 cell line,CellLine,BxPC-3 cell
CellLine,C2C12 cell line,CellLine,C subscript(2) C subscript(12) cell
CellLine,C-33A cell line,CellLine,C-33 A cell
CellLine,C3H10T1/2 cell line,CellLine,"C3H/10T1/2, Clone 8 cell"
CellLine,Calu-3,CellLine,Calu-3 cell
CellLine,Colo-205 cell line,CellLine,COLO 205 cell
CellLine,DU-145 cell line,CellLine,DU 145 cell
CellLine,H1299 cell line,CellLine,NCI-H1299 cell
CellLine,H441 cell line,CellLine,NCI-H441 cell
CellLine,H820 cell line,CellLine,NCI-H820 cell
CellLine,HCT116 cell line,CellLine,HCT 116 cell
CellLine,Hep3B cell line,CellLine,Hep 3B cell
CellLine,HepG2 cell line,CellLine,Hep G2 cell
CellLine,HL60 cell line,CellLine,HL-60 cell
CellLine,hybridoma cell line,CellLine,hybridoma cell line cell
CellLine,immortalized cell line,CellLine,immortal cell line cell
CellLine,J774A1 cell line,CellLine,J774A.1 cell
CellLine,KATO-III cell line,CellLine,KATO III cell
CellLine,KE37 cell line,CellLine,KE-37 cell
CellLine,LS-174T cell line,CellLine,LS 174T cell
CellLine,MCF-10A cell line,CellLine,MCF 10A cell
CellLine,MCF10F cell line,CellLine,MCF 10F cell
CellLine,MDA-MB-435 cell line,CellLine,MDA-MB-435S cell
CellLine,MiaPaCa cell line,CellLine,MIA PaCa-2 cell
CellLine,MKN45 cell line,CellLine,MKN-45 cell
CellLine,NCI-H1650,CellLine,NCI-H1650 cell
CellLine,NCI-H1666,CellLine,NCI-H1666 cell
CellLine,NCI-H345,CellLine,NCI-H345 cell
CellLine,NCI-H510 cell line,CellLine,NCI-H510A cell
CellLine,NCI-H596,CellLine,NCI-H596 cell
CellLine,NT2 cell line,CellLine,NT2-D1 cell
CellLine,PC12 cell line,CellLine,PC-12 cell
CellLine,RIN-m5F insulinoma cell line,CellLine,RIN-m5F cell
CellLine,RPMI-8226 cell line,CellLine,RPMI 8226 cell
CellLine,SW1990 cell line,CellLine,SW 1990 cell
CellLine,SW872 cell line,CellLine,SW 872 cell
CellLine,T47D cell line,CellLine,T-47D cell
CellLine,TE671 cell line,CellLine,TE-671 cell
CellLine,U-251MG cell line,CellLine,U-251 MG cell
CellLine,U266 cell line,CellLine,U-266 cell
CellLine,U2OS cell line,CellLine,U-2 OS cell
CellLine,WR-21 cell line,CellLine,WR21 cell
CellLine,293,CellLine,293 cell
CellLine,3T3-Swiss albino,CellLine,NIH-3T3 cell
CellLine,A-431,CellLine,A-431 cell
CellLine,A549,CellLine,A549 cell
CellLine,Calu-6,CellLine,Calu-6 cell
CellLine,COS-1,CellLine,COS-1 cell
CellLine,HeLa,CellLine,HeLa cell
CellLine,HT-29,CellLine,HT-29 cell
CellLine,IMR-90,CellLine,IMR-90 cell
CellLine,MCF7,CellLine,MCF7 cell
CellLine,MDA-MB-361,CellLine,MDA-MB-361 cell
CellLine,MDA-MB-453,CellLine,MDA-MB-453 cell
CellLine,NCI-H1155,CellLine,NCI-H1155 cell
CellLine,NCI-H1703,CellLine,NCI-H1703 cell
CellLine,NCI-H226,CellLine,NCI-H226 cell
CellLine,NCI-H358,CellLine,NCI-H358 cell
CellLine,U-937,CellLine,U-937 cell
CellLine,Carcinoma of bladder,Disease,bladder carcinoma
CellLine,Carcinoma of breast,Disease,breast cancer
CellLine,carcinoma of cervix,Disease,cervical cancer
CellLine,carcinoma of colon,Disease,colon cancer
CellLine,Carcinoma of embryo,Disease,embryonal cancer
CellLine,Carcinoma of gastrointestinal tract,Disease,stomach cancer
CellLine,Carcinoma of kidney,Disease,kidney cancer
CellLine,Carcinoma of liver,Disease,liver cancer
CellLine,Carcinoma of ovary,Disease,ovarian cancer
CellLine,Carcinoma of pancreas,Disease,pancreatic cancer
CellLine,Carcinoma of pancreatic beta cell,Disease,insulinoma
